Id,nodeType,status,region,longitude,latitude,attacked
10132,infrastructure,green,NE,-73.977182,40.780751,false
10131,infrastructure,green,NE,-73.977182,40.780751,false
10133,infrastructure,green,NE,-73.977182,40.780751,false
10122,controller,green,NE,-73.992171,40.751757,false
10125,infrastructure,green,NE,-73.977182,40.780751,false
10124,infrastructure,green,NE,-73.977182,40.780751,false
98082,controller,yellow,NW,-121.803388,47.432251,false
98073,infrastructure,green,NW,-121.803388,47.432251,false
98072,infrastructure,green,NW,-122.10205,47.758786,false
98075,infrastructure,green,NW,-122.033685,47.584879,false
98074,infrastructure,green,NW,-122.045347,47.625364,false
98367,infrastructure,green,NW,-122.66335,47.470971,false
98072,controller,orange,NW,-122.10205,47.758786,true
98073,infrastructure,blue,NW,-121.803388,47.432251,true
98074,controller,blue,NW,-122.045347,47.625364,true
98075,infrastructure,blue,NW,-122.033685,47.584879,true
98082,controller,orange,NW,-121.803388,47.432251,true
98367,infrastructure,blue,NW,-122.66335,47.470971,true
10122,controller,blue,NE,-73.992171,40.751757,true
10124,infrastructure,blue,NE,-73.977182,40.780751,true
10125,controller,blue,NE,-73.977182,40.780751,true
10131,infrastructure,yellow,NE,-73.977182,40.780751,true
10132,controller,green,NE,-73.977182,40.780751,true
10133,infrastructure,green,NE,-73.977182,40.780751,true
33109,controller,green,SE,-80.13907,25.759474,true
33102,infrastructure,green,SE,-80.458168,25.558428,true
33101,controller,green,SE,-80.19782,25.779076,true
33110,infrastructure,green,SE,-80.20827,25.846874,true
33111,controller,green,SE,-80.458168,25.558428,true
33114,infrastructure,green,SE,-80.458168,25.558428,true
29840,controller,green,SE,-82.51411,33.997908,false
20262,infrastructure,green,E,-77.014647,38.893311,false
50262,infrastructure,green,C,-93.79945,40.857503,false
52535,controller,green,C,-91.97867,40.86112,false
68738,infrastructure,green,MT,-97.601337,42.264356,false
83452,controller,green,MT,-111.16768,43.81958,false
40843,controller,green,OV,-82.96607,36.868363,false
20170,infrastructure,green,E,-77.38527,38.977109,false
66087,controller,blue,S,-95.12869,39.79684,false
58769,infrastructure,orange,MT,-102.23239,48.330437,false
78957,infrastructure,green,S,-97.16036,30.010487,false
00740,infrastructure,green,CAR,-65.62761,18.331711,false
91601,infrastructure,green,W,-118.37246,34.168206,false
52805,infrastructure,green,C,-90.606284,41.613034,false
03816,infrastructure,green,NE,-71.28404,43.685171,false
20615,controller,green,E,-76.54814,38.416782,false
07436,infrastructure,blue,E,-74.23727,41.028884,false
32590,controller,green,SE,-87.275772,30.61428,false
12593,controller,green,NE,-73.641076,42.243991,false
48756,infrastructure,green,OV,-83.99306,44.206123,false
12541,controller,green,NE,-73.757399,42.142068,false
74153,controller,green,S,-96.029725,36.139826,false
78719,infrastructure,green,S,-97.67711,30.163458,false
66739,controller,green,S,-94.65462,37.091398,false
95487,infrastructure,green,W,-122.989975,38.463088,false
32635,controller,green,SE,-82.353862,29.681312,false
98237,controller,orange,NW,-121.70018,48.497601,false
34746,infrastructure,green,SE,-81.46862,28.287883,false
39766,controller,green,SE,-88.31031,33.615277,false
68047,infrastructure,green,MT,-96.73093,42.112028,false
12830,infrastructure,green,NE,-73.712415,43.12943,false
20523,infrastructure,green,E,-77.047807,38.89449,false
20472,infrastructure,green,E,-77.014647,38.893311,false
52327,controller,green,C,-91.56899,41.483058,false
40808,controller,green,OV,-83.25264,36.981495,false
03034,infrastructure,green,NE,-71.3078,43.048372,false
61754,infrastructure,green,C,-89.15864,40.321811,false
78331,controller,green,S,-98.082694,27.750684,false
54546,controller,green,C,-90.70102,46.273618,false
76681,infrastructure,green,S,-96.40744,31.90869,false
19550,controller,green,E,-76.24373,40.456862,false
52733,infrastructure,blue,C,-90.519519,41.880619,false
73736,infrastructure,green,S,-97.69316,36.347664,false
05407,infrastructure,green,NE,-73.082525,44.442117,false
97532,infrastructure,green,NW,-123.5078,42.542134,false
71047,infrastructure,green,S,-93.87089,32.309864,false
17097,controller,green,E,-76.68525,40.573636,false
49284,controller,green,OV,-84.70868,42.38806,false
03258,infrastructure,green,NE,-71.397599,43.255881,false
27809,infrastructure,green,SE,-77.78636,36.032405,false
24823,infrastructure,green,E,-81.7338,37.664172,false
19429,infrastructure,green,E,-75.35586,40.211896,false
62311,infrastructure,green,C,-90.93288,40.223837,false
42265,infrastructure,green,OV,-87.02003,36.752802,false
27322,infrastructure,green,SE,-79.773094,36.392135,false
25075,infrastructure,green,E,-81.4311,38.046638,false
39532,infrastructure,green,SE,-88.93293,30.462388,false
91702,controller,green,W,-117.90309,34.128907,false
36305,controller,green,SE,-85.47402,31.214832,false
36853,controller,green,SE,-85.79955,32.787441,false
54421,infrastructure,green,C,-90.30657,44.903,false
56006,controller,green,C,-94.069828,44.056047,false
68780,infrastructure,green,MT,-99.13746,42.591725,false
13074,controller,green,NE,-76.56767,43.317683,false
36876,controller,green,SE,-87.519156,32.454371,false
95369,controller,green,W,-120.46555,37.521832,false
10161,infrastructure,green,NE,-73.977182,40.780751,false
98055,controller,green,NW,-122.21005,47.467422,false
68061,controller,green,MT,-96.21577,41.783203,false
46071,infrastructure,green,OV,-86.60268,40.126304,false
29180,infrastructure,green,SE,-81.08218,34.369441,false
93241,controller,green,W,-118.91325,35.256873,false
